contig	ws_hdr_start	ws_hdr_end	ws_hdr_size	strain
ptg000001l	886839.263845554	893799.93344277	6960.66959721583	XZ1516
ptg000001l	920911.641957142	996611	75699.3580428584	XZ1516
ptg000001l	1542706.94340884	1722883.31862396	180176.375215124	XZ1516
ptg000001l	1759739	1862055.72786756	102316.727867562	XZ1516
ptg000001l	1897375.41355382	1914379.58644618	17004.1728923512	XZ1516
ptg000001l	1930379.80033499	1946099.96540174	15720.1650667496	XZ1516
ptg000001l	2026454.35438956	2035400.00182714	8945.647437579	XZ1516
ptg000001l	2272650.40068376	2283642.75073688	10992.3500531185	XZ1516
ptg000001l	2345210.55160932	2369372.9208409	24162.3692315803	XZ1516
ptg000001l	2394562.20448107	2492095	97532.7955189287	XZ1516
ptg000001l	3140066	3202885.52155462	62819.5215546242	XZ1516
ptg000001l	5148100.2509371	5159965.82708064	11865.5761435349	XZ1516
ptg000001l	5198683.55652783	5236777.44733221	38093.8908043858	XZ1516
ptg000001l	6735482.59695716	6765256.35526873	29773.758311566	XZ1516
ptg000003l	82051.3702970297	92938.3658090105	10886.9955119808	XZ1516
ptg000003l	168239.459185977	175288.028169014	7048.56898303755	XZ1516
ptg000003l	182484	197335.369907144	14851.3699071442	XZ1516
ptg000003l	248752	261876.524417601	13124.5244176014	XZ1516
ptg000003l	322047	334527.50727468	12480.5072746802	XZ1516
ptg000003l	467369	476707	9338	XZ1516
ptg000003l	487689.511047463	503750.874200426	16061.3631529633	XZ1516
ptg000003l	651343.860639583	659279.139360417	7935.27872083406	XZ1516
ptg000003l	775473.078748462	826513	51039.9212515381	XZ1516
ptg000005l	61641	76046.4857640906	14405.4857640906	XZ1516
ptg000005l	291242.425054308	322537.647268523	31295.2222142145	XZ1516
ptg000005l	511463.443348134	525225.589063948	13762.1457158146	XZ1516
ptg000008l	276983.681110056	329543	52559.3188899436	XZ1516
ptg000008l	385254.711861923	391506.668854114	6251.95699219062	XZ1516
ptg000008l	407236.625056062	453081	45844.3749439378	XZ1516
ptg000008l	503689.731780323	576218.907667816	72529.1758874936	XZ1516
ptg000008l	581299.306042885	615857.73134633	34558.4253034455	XZ1516
ptg000008l	920024.024231934	926272.801551283	6248.77731934888	XZ1516
ptg000008l	951205.217733653	987199.113721026	35993.8959873735	XZ1516
ptg000008l	1041675.12031761	1142510	100834.879682391	XZ1516
