strain	gene	Orthogroup	class
AB1	g61	OG0015243	core
AB1	g62	OG0001111	core
AB1	g63	OG0003571	core
AB1	g64	OG0015959	accessory
AB1	g65	OG0003987	core
AB1	g66	OG0020685	accessory
AB1	g67	OG0018824	accessory
AB1	g68	OG0016658	accessory
AB1	g69	OG0003289	core
AB1	g70	OG0001690	core
AB1	g71	OG0003288	core
AB1	g72	OG0001691	core
AB1	g73	OG0001284	core
AB1	g74	OG0021388	accessory
AB1	g75	OG0015242	core
AB1	g76	OG0015241	core
AB1	g77	OG0003570	core
AB1	g78	OG0001689	core
AB1	g79	OG0003979	core
AB1	g80	OG0016718	accessory
AB1	g81	OG0003964	core
AB1	g82	OG0015773	accessory
AB1	g83	OG0015957	accessory
AB1	g84	OG0016776	accessory
AB1	g85	OG0015956	accessory
AB1	g86	OG0015240	core
AB1	g87	OG0015239	core
AB1	g88	OG0003045	core
AB1	g89	OG0015238	core
AB1	g90	OG0015237	core
AB1	g91	OG0015236	core
AB1	g92	OG0000466	core
AB1	g93	OG0003044	core
AB1	g94	OG0022103	accessory
AB1	g95	OG0019609	accessory
AB1	g96	OG0001547	core
AB1	g97	OG0019660	accessory
AB1	g98	OG0015235	core
AB1	g99	OG0002353	core
AB1	g100	OG0015955	accessory
AB1	g101	OG0021895	accessory
AB1	g102	OG0017187	accessory
AB1	g103	OG0021836	accessory
AB1	g104	OG0018536	accessory
AB1	g105	OG0003133	core
AB1	g106	OG0018112	accessory
AB1	g107	OG0000292	core
AB1	g162	OG0038464	accessory
AB1	g163	OG0028754	accessory
AB1	g164	OG0001738	core
AB1	g165	OG0000707	core
AB1	g170	OG0001009	core
AB1	g171	OG0003040	core
AB1	g172	OG0000944	core
AB1	g173	OG0000979	core
AB1	g174	OG0017206	accessory
AB1	g175	OG0001008	core
AB1	g179	OG0018603	accessory
AB1	g180	OG0020918	accessory
AB1	g181	OG0021616	accessory
AB1	g182	OG0020003	accessory
AB1	g183	OG0037403	accessory
AB1	g184	OG0000677	core
AB1	g185	OG0003038	core
AB1	g186	OG0019174	accessory
AB1	g187	OG0001620	core
AB1	g188	OG0003037	core
AB1	g189	OG0001647	core
AB1	g190	OG0003516	accessory
AB1	g191	OG0017289	accessory
AB1	g192	OG0022109	accessory
AB1	g193	OG0019003	accessory
AB1	g194	OG0019003	accessory
AB1	g195	OG0015231	core
