strain	ws_hdr_count	span_ws_hdrs	largest_ws_hdr	mean_ws_hdr_size	n2_hdr_count	n2_hdr_span	largest_n2_hdr	mean_n2_hdr_size	ws_class_count_accessory	ws_class_count_core	ws_class_count_private	ws_class_count_inHDR_accessory	ws_class_count_inHDR_core	ws_class_count_inHDR_private	ws_total_gene_count	ws_total_inHDR_gene_count
XZ1516	310	14885794.2504002	972088	48018.6911303231	349	14112000	920000	40435.5300859599	7677	15007	308	2465	1732	90	22992	4287
XZ1515	136	3517292.51675839	155532.274576409	25862.4449761646	145	3183000	172000	21951.724137931	7649	15010	115	787	368	3	22774	1158
XZ1513	123	3477379.078824	281098.253097747	28271.3746245853	135	3325000	232000	24629.6296296296	7545	14984	100	793	411	5	22629	1209
WN2117	54	2235900.50004739	443565.942488578	41405.5648156925	58	2078000	345000	35827.5862068966	7392	15032	84	402	206	6	22508	614
WN2082	49	843406.560440182	99928.0353724202	17212.3787844935	50	760000	103000	15200	7519	14986	78	124	83	0	22583	207
WN2001	86	3395496.09035843	290959	39482.5126785864	91	2954000	208000	32461.5384615385	7462	15034	81	886	247	4	22577	1137
TWN2530	71	2285505.74576225	132825	32190.2217712992	80	2190000	171000	27375	7518	15024	66	618	138	3	22608	759
RC301	43	2166713.67323258	434741.942488578	50388.6900751762	51	1867000	345000	36607.8431372549	7444	15012	66	538	141	6	22522	685
QX1794	113	3743683.14254235	282403.497890695	33129.9393145341	123	3403000	232000	27666.6666666667	7637	15029	106	910	381	15	22772	1306
QX1791	118	4954238.22984993	532017.302737261	41985.0697444909	130	4331000	340000	33315.3846153846	7710	14991	182	1107	507	37	22883	1651
QG4021	63	1922683.09355631	197671.323681357	30518.7792627986	69	2100000	208000	30434.7826086957	7376	15015	80	468	170	9	22471	647
QG4018	59	1268864.93678463	148509.935729319	21506.185369231	61	1410000	208000	23114.7540983607	7542	15037	93	237	155	0	22672	392
PX179	27	754732.702589054	180450.810630926	27953.0630588539	29	686000	159000	23655.1724137931	7471	15021	50	189	66	0	22542	255
NIC526	51	1888098.45792301	305832.047199354	37021.5383906472	55	1486000	159000	27018.1818181818	7605	15027	75	401	144	4	22707	549
NIC259	41	1436389.07351922	267535.510587343	35033.8798419321	47	1189000	159000	25297.8723404255	7502	15013	68	413	114	3	22583	530
NIC2	17	294703.604999741	70564.4820617077	17335.5061764554	17	306000	66000	18000	7553	15006	77	61	19	1	22636	81
NIC199	114	4003389.77884065	388027.701647268	35117.4542003566	122	3258000	339000	26704.9180327869	7605	15004	107	936	355	11	22716	1302
NIC195	121	4362383.45802132	308925	36052.7558514159	126	3676000	260000	29174.6031746032	7400	15026	107	1080	409	13	22533	1502
NIC1810	96	3315272.11696967	344922.603293776	34534.0845517674	106	2974000	172000	28056.6037735849	7466	15011	113	888	297	7	22590	1192
NIC1792	93	3125900.49891493	366767.603293777	33611.8333216659	101	2885000	208000	28564.3564356436	7506	15023	129	740	301	6	22658	1047
NIC1790	106	3913930.58560478	343400	36923.8734491017	121	3546000	208000	29305.7851239669	7469	14998	91	961	332	5	22558	1298
NIC1775	57	1355545.456142	137523.23587502	23781.4992305614	58	1436000	153000	24758.6206896552	7588	15043	63	302	142	0	22694	444
NIC1119	77	2458522.50064994	282660.149353966	31928.8636448044	84	2293000	232000	27297.619047619	7310	15015	102	652	238	5	22427	895
NIC1	52	1785392.42297956	202792.376880443	34334.4696726838	56	1675000	208000	29910.7142857143	7397	15004	63	435	143	2	22464	580
MY2693	51	2079197.05834529	431475.942488578	40768.5697714763	58	1823000	345000	31431.0344827586	7539	15032	64	523	142	3	22635	668
MY23	110	3834879.58630752	282505.497890694	34862.5416937047	127	3599000	259000	28338.5826771654	7586	15011	97	958	371	15	22694	1344
MY2212	44	1398223.19715252	203473.323681356	31777.7999352846	49	1349000	179000	27530.612244898	7502	15016	76	418	82	2	22594	502
MY2147	41	1161899.22299938	140108	28339.0054390094	43	1068000	159000	24837.2093023256	7481	15038	86	260	103	4	22605	367
MY16	86	3074694.92055402	198729.499058528	35752.26651807	97	2828000	257000	29154.6391752577	7472	15029	110	767	291	12	22611	1070
MY10	79	3463349.48931467	282766	43839.8669533503	84	3026000	237000	36023.8095238095	7450	15025	92	776	280	8	22567	1064
MY1	65	2245572.53071801	369250.603293776	34547.269703354	70	1957000	173000	27957.1428571429	7485	14997	73	518	196	2	22555	716
LKC34	58	1620298.55818459	388342.867964129	27936.1820376654	65	1624000	156000	24984.6153846154	7496	15028	66	393	123	2	22590	518
JU782	113	4137652.55230315	304525	36616.3942681695	120	3555000	208000	29625	7605	15064	135	950	419	9	22804	1378
JU775	125	3726275.01125082	289503	29810.2000900066	134	3400000	257000	25373.1343283582	7498	15010	101	761	406	5	22609	1172
JU440	21	609753.263781106	137945.935729319	29035.8697038622	21	513000	156000	24428.5714285714	7502	15003	58	120	50	2	22563	172
JU394	24	705168.722242358	175846.400851694	29382.0300934316	26	641000	173000	24653.8461538462	7514	15023	87	93	123	3	22624	219
JU346	41	906500.169213441	87766.1022797287	22109.7602247181	46	819000	108000	17804.347826087	7388	15016	106	180	85	2	22510	267
JU3282	52	2272749.58409568	434163.942488578	43706.7227710708	55	1841000	345000	33472.7272727273	7565	15000	74	580	146	7	22639	733
JU3226	274	8381241.18579225	377071	30588.4714809936	295	7163000	278000	24281.3559322034	7769	14965	126	1593	992	22	22860	2607
JU3166	88	3606032.33149192	310971	40977.64013059	99	2954000	231000	29838.3838383838	7370	14995	121	887	263	31	22486	1181
JU3128	32	908936.592847047	189529.810630926	28404.2685264702	34	864000	159000	25411.7647058824	7519	15001	78	225	69	3	22598	297
JU311	46	1382850.2939426	232444.04566235	30061.9629117956	51	1300000	189000	25490.1960784314	7519	15002	90	399	87	6	22611	492
JU310	42	1198257.39952765	155893	28529.9380839917	45	1124000	159000	24977.7777777778	7609	15116	116	278	103	3	22841	384
JU2841	58	2325018.54884484	447779.942488578	40086.5267042214	64	1967000	345000	30734.375	7552	15019	81	557	172	9	22652	738
