strain	gene
ECA3035	g11372
ECA3035	g17552
ECA3035	g483
ECA3035	g12463
ECA3035	g1344
ECA3035	g19787
ECA3035	g3604
ECA3035	g18704
ECA3035	g3992
ECA3035	g481
ECA3035	g1504
ECA3035	g7407
ECA3035	g2444
ECA3035	g9139
ECA3035	g7446
ECA3035	g20
ECA3035	g21804
ECA3035	g13512
ECA3035	g2001
ECA3035	g11373
ECA3035	g14905
ECA3035	g7439
ECA3035	g18577
ECA3035	g3952
ECA3035	g440
ECA3035	g25
ECA3035	g7443
ECA3035	g485
ECA3035	g482
ECA3035	g480
ECA3035	g7445
ECA3035	g19
ECA3035	g489
ECA3035	g7442
ECA3035	g24
ECA3035	g18705
ECA3035	g16
ECA3035	g3605
ECA3035	g490
ECA3035	g7444
ECA3035	g19326
ECA3035	g18
ECA3035	g255
ECA3035	g6303
ECA3035	g11371
ECA3035	g7440
ECA3035	g6025
ECA3035	g17312
ECA3035	g9141
ECA3035	g7438
ECA3035	g12168
ECA3035	g22
ECA3035	g1842
ECA3035	g3569
ECA3035	g21
ECA3035	g22349
ECA3035	g7441
ECA3035	g21795
ECA3035	g12170
ECA3035	g8604
ECA3035	g3154
ECA3035	g12462
ECA3035	g22587
ECA3035	g22573
ECA3035	g22580
ECA3035	g9153
ECA3035	g3
ECA3035	g9146
ECA3035	g9310
ECA3035	g1345
ECA3035	g12173
ECA3035	g9311
ECA3035	g22572
ECA3035	g13429
ECA3035	g479
ECA3035	g11996
ECA3035	g23
ECA3035	g7437
ECA3035	g18576
ECA3035	g487
ECA3035	g11367
ECA3035	g12172
ECA3035	g488
ECA3035	g510
ECA3035	g486
ECA3035	g9145
ECA3035	g9152
ECA3035	g22579
ECA3035	g22586
ECA3035	g2
ECA3035	g17
ECA3035	g507
ECA3035	g509
ECA3035	g876
ECA3035	g8804
ECA3035	g17686
ECA3035	g18586
ECA3035	g12143
ECA3035	g1473
ECA3035	g4036
ECA2452	g1042
ECA2452	g21582
ECA2452	g17374
ECA2452	g10511
ECA2452	g536
ECA2452	g4594
ECA2452	g15123
ECA2452	g1066
ECA2452	g1046
ECA2452	g10804
ECA2452	g16218
ECA2452	g532
ECA2452	g2080
ECA2452	g8257
ECA2452	g555
ECA2452	g10977
ECA2452	g17585
ECA2452	g5406
ECA2452	g1069
ECA2452	g2590
ECA2452	g1037
ECA2452	g19170
ECA2452	g16217
ECA2452	g1041
ECA2452	g4521
ECA2452	g3028
ECA2452	g21583
ECA2452	g188
ECA2452	g13615
ECA2452	g8289
ECA2452	g2044
ECA2452	g993
ECA2452	g1076
ECA2452	g1067
ECA2452	g1035
ECA2452	g8296
ECA2452	g558
ECA2452	g8293
ECA2452	g530
ECA2452	g1034
ECA2452	g4564
ECA2452	g8295
ECA2452	g1064
ECA2452	g554
ECA2452	g8292
ECA2452	g556
ECA2452	g557
ECA2452	g8291
ECA2452	g4185
ECA2452	g4184
ECA2452	g537
ECA2452	g1044
ECA2452	g8294
ECA2452	g15590
ECA2452	g553
ECA2452	g796
ECA2452	g4152
ECA2452	g21581
ECA2452	g1036
ECA2452	g9256
ECA2452	g1038
ECA2452	g1922
ECA2452	g16347
ECA2452	g6881
ECA2452	g7165
ECA2452	g551
ECA2452	g17236
ECA2452	g10806
ECA2452	g4593
ECA2452	g2428
ECA2452	g8288
ECA2452	g17237
ECA2452	g21070
ECA2452	g19171
ECA2452	g7
ECA2452	g10831
ECA2452	g3734
ECA2452	g1068
ECA2452	g10512
ECA2452	g10801
ECA2452	g5415
ECA2452	g9544
ECA2452	g559
ECA2452	g17239
ECA2452	g1449
ECA2452	g8290
ECA2452	g17240
ECA2452	g1043
ECA2452	g21577
ECA2452	g10802
ECA2452	g1921
ECA2452	g8287
ECA2452	g552
ECA2452	g1040
ECA2452	g16346
ECA2452	g16336
ECA2452	g1045
ECA1693	g11417
ECA1693	g12800
ECA1693	g2386
ECA1693	g12820
ECA1693	g14652
ECA1693	g10976
ECA1693	g13348
ECA1693	g16931
ECA1693	g11390
ECA1693	g13329
ECA1693	g12824
ECA1693	g18058
ECA1693	g15824
ECA1693	g11795
ECA1693	g9331
ECA1693	g6234
ECA1693	g22202
ECA1693	g12822
ECA1693	g9833
ECA1693	g13328
ECA1693	g15825
ECA1693	g13347
ECA1693	g9170
ECA1693	g5233
ECA1693	g10275
ECA1693	g6204
ECA1693	g2385
ECA1693	g19121
ECA1693	g109
ECA1693	g9169
ECA1693	g12871
ECA1693	g12802
ECA1693	g16459
ECA1693	g13696
ECA1693	g6196
ECA1693	g4464
ECA1693	g13354
