strain	gene
ECA3035	g21581
ECA3035	g18424
ECA3035	g457
ECA3035	g15836
ECA3035	g12264
ECA3035	g12269
ECA3035	g6801
ECA3035	g6
ECA3035	g9149
ECA3035	g9156
ECA3035	g22576
ECA3035	g22583
ECA3035	g3802
ECA3035	g3812
ECA3035	g18172
ECA3035	g15884
ECA3035	g555
ECA3035	g11736
ECA3035	g7381
ECA3035	g8647
ECA3035	g15
ECA3035	g4337
ECA3035	g2994
ECA3035	g3751
ECA3035	g8987
ECA3035	g3763
ECA3035	g2194
ECA3035	g8731
ECA3035	g18743
ECA3035	g8984
ECA3035	g3912
ECA3035	g9028
ECA3035	g31
ECA3035	g17071
ECA3035	g3748
ECA3035	g3755
ECA3035	g12221
ECA3035	g19288
ECA3035	g12258
ECA3035	g12262
ECA3035	g8983
ECA3035	g22577
ECA3035	g22584
ECA3035	g7
ECA3035	g9150
ECA3035	g9157
ECA3035	g29
ECA3035	g5892
ECA3035	g17076
ECA3035	g6011
ECA3035	g454
ECA3035	g22501
ECA3035	g8989
ECA3035	g468
ECA3035	g13338
ECA3035	g1414
ECA3035	g18693
ECA3035	g17920
ECA3035	g6013
ECA3035	g1226
ECA3035	g2677
ECA3035	g3752
ECA3035	g8678
ECA3035	g8786
ECA3035	g15288
ECA3035	g2676
ECA3035	g20576
ECA3035	g866
ECA3035	g18863
ECA3035	g14
ECA3035	g37
ECA3035	g8547
ECA3035	g12077
ECA3035	g4026
ECA3035	g3642
ECA3035	g8659
ECA3035	g1335
ECA3035	g15869
ECA3035	g898
ECA3035	g12267
ECA3035	g12265
ECA3035	g1818
ECA3035	g3762
ECA3035	g17692
ECA3035	g14811
ECA3035	g615
ECA3035	g8736
ECA3035	g453
ECA3035	g18425
ECA3035	g8685
ECA3035	g9144
ECA3035	g12723
ECA3035	g1816
ECA3035	g964
ECA3035	g15651
ECA3035	g15664
ECA3035	g8739
ECA3035	g8738
ECA3035	g8741
ECA3035	g8740
ECA3035	g450
ECA3035	g4331
ECA3035	g8662
ECA3035	g19802
ECA3035	g8688
ECA3035	g3624
ECA3035	g1140
ECA3035	g15902
ECA3035	g12272
ECA3035	g10576
ECA3035	g1225
ECA3035	g17073
ECA3035	g6562
ECA3035	g1819
ECA3035	g3758
ECA3035	g10
ECA3035	g458
ECA3035	g12401
ECA3035	g15903
ECA3035	g528
ECA3035	g8988
ECA3035	g11743
ECA3035	g8829
ECA3035	g1475
ECA3035	g19442
ECA3035	g8640
ECA3035	g2679
ECA3035	g15650
ECA3035	g12261
ECA3035	g3852
ECA3035	g8772
ECA3035	g8754
ECA3035	g8763
ECA3035	g10573
ECA3035	g3753
ECA3035	g14310
ECA3035	g729
ECA3035	g4328
ECA3035	g1902
ECA3035	g2678
ECA3035	g4324
ECA3035	g18467
ECA3035	g2681
ECA3035	g8737
ECA3035	g40
ECA3035	g3870
ECA3035	g1909
ECA3035	g1813
ECA3035	g3143
ECA3035	g3968
ECA3035	g1814
ECA3035	g377
ECA3035	g21812
ECA3035	g3822
ECA3035	g1815
ECA3035	g8701
ECA3035	g1415
ECA3035	g2121
ECA3035	g17285
ECA3035	g17156
ECA3035	g3572
ECA3035	g452
ECA3035	g13341
ECA3035	g89
ECA3035	g459
ECA3035	g4137
ECA3035	g10569
ECA3035	g11923
ECA3035	g5898
ECA3035	g1227
ECA3035	g18155
ECA3035	g2554
ECA3035	g8690
ECA3035	g4339
ECA3035	g14810
ECA3035	g15895
ECA3035	g8750
ECA3035	g8768
ECA3035	g8759
ECA3035	g3953
ECA3035	g2555
ECA3035	g5887
ECA3035	g4610
ECA3035	g3759
ECA3035	g8660
ECA3035	g2125
ECA3035	g1231
ECA3035	g45
