strain	gene
MY23	g16242
MY23	g16244
MY23	g2934
MY23	g2720
MY23	g18530
MY23	g5145
MY23	g2207
MY23	g7194
MY23	g2935
MY23	g18560
MY23	g2717
MY23	g16158
MY23	g15267
MY23	g16359
MY23	g17307
MY23	g2896
MY23	g6063
MY23	g13937
MY23	g15409
MY23	g22261
MY23	g20752
MY23	g14345
MY23	g18627
MY23	g12908
MY23	g2723
MY23	g3844
MY23	g18241
MY23	g6272
MY23	g18436
MY23	g18539
MY23	g15460
MY23	g18549
MY23	g965
MY23	g9397
MY23	g5093
MY23	g2641
MY23	g6060
MY23	g21624
MY23	g2725
MY23	g18421
MY23	g22300
MY23	g4748
MY23	g12914
MY23	g6246
MY23	g2532
MY23	g16899
MY23	g17108
MY23	g2575
MY23	g22444
MY23	g2544
MY23	g6079
MY23	g13687
MY23	g14234
MY23	g9345
MY23	g10223
MY23	g18430
MY23	g18431
MY23	g18119
MY23	g15877
MY23	g18626
MY23	g18051
MY23	g16670
MY23	g22298
MY23	g18250
MY23	g18630
MY23	g6065
MY23	g6078
MY23	g13932
MY23	g18222
MY23	g18550
MY23	g22556
MY23	g19054
MY23	g2714
MY23	g1073
MY23	g18747
MY23	g3410
MY23	g16837
MY23	g10836
MY23	g18561
MY23	g16241
MY23	g15571
MY23	g16034
MY23	g18969
MY23	g22260
MY23	g13926
MY23	g22258
MY23	g11996
MY23	g18990
MY23	g15269
MY23	g20928
MY23	g21746
MY23	g18970
MY23	g959
MY23	g340
MY23	g20940
MY23	g15928
MY23	g22284
MY23	g22285
MY23	g2601
MY23	g1070
MY23	g5643
MY23	g16243
MY23	g22353
MY23	g21443
MY23	g9395
MY23	g18122
MY23	g22334
MY23	g5524
MY23	g14392
MY23	g5525
MY23	g2682
MY23	g22293
MY23	g15568
MY23	g15573
MY23	g10882
MY23	g18072
MY23	g22332
MY23	g839
MY23	g17370
MY23	g22263
MY23	g13934
MY23	g2684
MY23	g22256
MY23	g22288
MY23	g17373
MY23	g10072
MY23	g856
MY23	g6273
MY23	g22130
MY23	g13920
MY23	g13922
MY23	g14031
MY23	g1093
MY23	g5526
MY23	g21442
MY23	g13935
MY23	g868
MY23	g735
MY23	g13930
MY23	g8773
MY23	g8774
MY23	g15775
MY23	g13924
MY23	g6352
MY23	g19281
MY23	g19058
MY23	g3929
MY23	g15459
MY23	g18424
MY23	g22292
MY23	g15570
MY23	g9520
MY23	g13919
MY23	g5527
MY23	g18176
MY23	g8060
MY23	g15567
MY23	g5522
MY23	g20932
MY23	g18438
MY23	g19057
MY23	g18746
MY23	g4574
MY23	g15742
MY23	g2644
MY23	g15268
MY23	g16659
MY23	g5299
MY23	g22262
MY23	g9028
MY23	g18629
MY23	g22264
MY23	g20564
MY23	g2895
MY23	g9261
MY23	g4791
MY23	g22253
MY23	g16657
MY23	g18531
MY23	g18989
MY23	g16933
MY23	g20597
MY23	g20600
MY23	g21457
MY23	g16769
MY23	g19278
MY23	g8131
MY23	g13725
MY23	g6059
MY23	g16250
MY23	g17005
MY23	g5569
MY23	g20755
MY23	g6243
MY23	g21753
MY23	g21440
MY23	g2936
MY23	g12911
MY23	g11043
MY23	g2931
MY23	g22254
MY23	g11315
MY23	g12909
MY23	g21752
MY23	g21747
MY23	g5637
MY23	g15545
MY23	g21425
MY23	g20501
MY23	g17369
MY23	g9396
MY23	g15496
MY23	g14321
MY23	g2328
MY23	g22025
MY23	g12428
MY23	g20754
MY23	g19201
MY23	g22259
MY23	g5488
MY23	g18551
MY23	g18532
MY23	g22027
MY23	g16042
MY23	g16840
MY23	g18433
MY23	g13923
MY23	g19055
MY23	g22296
MY23	g16671
MY23	g16838
MY23	g2543
MY23	g6064
MY23	g13925
MY23	g16658
MY23	g22286
MY23	g14393
MY23	g15850
MY23	g18242
MY23	g22291
MY23	g22028
MY23	g19056
MY23	g17447
MY23	g21436
MY23	g9981
MY23	g15465
MY23	g2859
MY23	g15270
MY23	g13914
MY23	g11857
MY23	g961
MY23	g14322
MY23	g8379
MY23	g16699
MY23	g19463
MY23	g18423
MY23	g2530
MY23	g15741
MY23	g7811
MY23	g20749
MY23	g12578
MY23	g22555
MY23	g8380
MY23	g4845
MY23	g16159
MY23	g6252
MY23	g6181
MY23	g5300
MY23	g9263
MY23	g22255
MY23	g21748
MY23	g21751
MY23	g8157
MY23	g22354
MY23	g14926
MY23	g21439
MY23	g13918
MY23	g18437
MY23	g859
MY23	g2643
MY23	g18422
MY23	g8381
MY23	g2858
MY23	g13931
MY23	g22031
MY23	g22246
MY23	g7450
MY23	g18533
MY23	g857
MY23	g2681
MY23	g22496
MY23	g10837
MY23	g2579
MY23	g21438
MY23	g18628
MY23	g6247
MY23	g22297
MY23	g5529
MY23	g8382
MY23	g6066
MY23	g16844
MY23	g19279
MY23	g7449
MY23	g13933
MY23	g2531
MY23	g10216
MY23	g10214
MY23	g17374
MY23	g9733
MY23	g18221
MY23	g6061
MY23	g22299
MY23	g21437
MY23	g604
MY23	g22290
MY23	g14825
MY23	g12905
MY23	g6062
MY23	g19042
MY23	g3276
MY23	g21737
MY23	g22026
MY23	g8555
MY23	g13939
MY23	g22294
MY23	g18223
MY23	g21738
MY23	g20950
MY23	g22295
MY23	g16791
MY23	g16937
MY23	g5298
MY23	g21441
MY23	g2488
MY23	g16839
MY23	g8383
MY23	g2724
MY23	g2549
MY23	g16245
MY23	g15572
MY23	g2687
MY23	g19200
MY23	g20751
MY23	g107
MY23	g22287
MY23	g858
MY23	g17664
MY23	g17979
MY23	g22445
MY23	g13921
MY23	g4785
MY23	g22283
MY23	g15569
MY23	g22257
MY16	g1192
MY16	g2903
MY16	g2864
MY16	g17470
MY16	g11805
MY16	g12529
MY16	g4654
MY16	g11601
MY16	g19894
MY16	g5177
MY16	g413
MY16	g3079
MY16	g15138
MY16	g3119
MY16	g11026
MY16	g489
MY16	g6527
MY16	g15140
MY16	g4682
MY16	g462
MY16	g1498
MY16	g12214
MY16	g17891
MY16	g7486
MY16	g2906
MY16	g15629
MY16	g18484
MY16	g11229
MY16	g18673
MY16	g17492
MY16	g12324
MY16	g17481
MY16	g18689
MY16	g2404
MY16	g9868
MY16	g2823
MY16	g11023
MY16	g4643
MY16	g9521
MY16	g7480
MY16	g11208
MY16	g2712
MY16	g4759
MY16	g4970
MY16	g2755
MY16	g4223
MY16	g4501
MY16	g2402
MY16	g11717
MY16	g2724
MY16	g11042
MY16	g2757
MY16	g18694
MY16	g20849
MY16	g6475
MY16	g2711
MY16	g18668
MY16	g18363
MY16	g1499
MY16	g12081
MY16	g11927
MY16	g18295
MY16	g11296
MY16	g2771
MY16	g2767
MY16	g1495
MY16	g11028
MY16	g4760
MY16	g11041
MY16	g15146
MY16	g18466
MY16	g17480
MY16	g17879
MY16	g2897
MY16	g9563
MY16	g7224
MY16	g1379
MY16	g3118
MY16	g22481
MY16	g2032
MY16	g1725
MY16	g3045
MY16	g14906
MY16	g3044
MY16	g17501
