strain	gene
XZ1516	g20460
XZ1516	g9556
XZ1516	g9499
XZ1516	g8191
XZ1516	g7353
XZ1516	g9867
XZ1516	g18411
XZ1516	g19841
XZ1516	g18375
XZ1516	g21163
XZ1516	g13499
XZ1516	g2235
XZ1516	g13388
XZ1516	g9583
XZ1516	g9117
XZ1516	g20076
XZ1516	g15890
XZ1516	g21247
XZ1516	g22274
XZ1516	g17772
XZ1516	g17247
XZ1516	g13579
XZ1516	g413
XZ1516	g18616
XZ1516	g7124
XZ1516	g812
XZ1516	g19867
XZ1516	g2257
XZ1516	g9496
XZ1516	g22233
XZ1516	g12001
XZ1516	g18387
XZ1516	g17890
XZ1516	g13600
XZ1516	g19932
XZ1516	g19926
XZ1516	g22027
XZ1516	g332
XZ1516	g20689
XZ1516	g4447
XZ1516	g8173
XZ1516	g16156
XZ1516	g9684
XZ1516	g16242
XZ1516	g17830
XZ1516	g2222
XZ1516	g10011
XZ1516	g9472
XZ1516	g9694
XZ1516	g8175
XZ1516	g46
XZ1516	g4824
XZ1516	g19354
XZ1516	g9584
XZ1516	g21436
XZ1516	g526
XZ1516	g5384
XZ1516	g13564
XZ1516	g1106
XZ1516	g16254
XZ1516	g20080
XZ1516	g15255
XZ1516	g12472
XZ1516	g15373
XZ1516	g20447
XZ1516	g20165
XZ1516	g1847
XZ1516	g9934
XZ1516	g19188
XZ1516	g19728
XZ1516	g18395
XZ1516	g4805
XZ1516	g20072
XZ1516	g1026
XZ1516	g8108
XZ1516	g1133
XZ1516	g17273
XZ1516	g10262
XZ1516	g19184
XZ1516	g737
XZ1516	g22277
XZ1516	g8095
XZ1516	g9910
XZ1516	g20176
XZ1516	g11889
XZ1516	g21468
XZ1516	g10423
XZ1516	g7538
XZ1516	g528
XZ1516	g9393
XZ1516	g18393
XZ1516	g79
XZ1516	g3537
XZ1516	g10036
XZ1516	g21401
XZ1516	g19900
XZ1516	g9798
XZ1516	g20771
XZ1516	g709
XZ1516	g19928
XZ1516	g4365
XZ1516	g13434
XZ1516	g1828
XZ1516	g4954
XZ1516	g18653
XZ1516	g9396
XZ1516	g18531
XZ1516	g13641
XZ1516	g7961
XZ1516	g13601
XZ1516	g12465
XZ1516	g11795
XZ1516	g13578
XZ1516	g10231
XZ1516	g21408
XZ1516	g17537
XZ1516	g9543
XZ1516	g19742
XZ1516	g7362
XZ1516	g15776
XZ1516	g21455
XZ1516	g1602
XZ1516	g18391
XZ1516	g14250
XZ1516	g22031
XZ1516	g8159
XZ1516	g3539
XZ1516	g17944
XZ1516	g21814
XZ1516	g9536
XZ1516	g791
XZ1516	g19823
XZ1516	g10357
XZ1516	g1094
XZ1516	g21409
XZ1516	g7059
XZ1516	g18904
XZ1516	g18617
XZ1516	g116
XZ1516	g27
XZ1516	g18809
XZ1516	g1855
XZ1516	g15906
XZ1516	g21448
XZ1516	g1342
XZ1516	g1601
XZ1516	g9343
XZ1516	g8169
XZ1516	g19859
XZ1516	g9802
XZ1516	g8506
XZ1516	g19835
XZ1516	g13338
XZ1516	g19887
XZ1516	g15881
XZ1516	g18556
XZ1516	g16396
XZ1516	g13613
XZ1516	g19727
XZ1516	g8210
XZ1516	g17299
XZ1516	g18551
XZ1516	g13587
XZ1516	g18374
XZ1516	g5548
XZ1516	g17526
XZ1516	g21470
XZ1516	g4617
XZ1516	g1825
XZ1516	g8017
XZ1516	g2549
XZ1516	g8199
XZ1516	g8077
XZ1516	g21237
XZ1516	g8081
XZ1516	g4021
XZ1516	g19816
XZ1516	g8693
XZ1516	g13369
XZ1516	g9403
XZ1516	g9112
XZ1516	g7272
XZ1516	g13384
XZ1516	g19917
XZ1516	g12350
XZ1516	g20137
XZ1516	g19491
XZ1516	g17256
XZ1516	g9486
XZ1516	g10661
XZ1516	g19855
XZ1516	g66
XZ1516	g97
XZ1516	g14364
XZ1516	g691
XZ1516	g21922
XZ1516	g9857
XZ1516	g18650
XZ1516	g9716
XZ1516	g5387
XZ1516	g19743
XZ1516	g786
XZ1516	g19896
XZ1516	g13581
XZ1516	g1562
XZ1516	g15753
XZ1516	g20153
XZ1516	g22930
XZ1516	g18176
XZ1516	g8200
XZ1516	g21916
XZ1516	g8178
XZ1516	g498
XZ1516	g13584
XZ1516	g13765
XZ1516	g11762
XZ1516	g15581
XZ1516	g1181
XZ1516	g9648
XZ1516	g9555
XZ1516	g10834
XZ1516	g10836
XZ1516	g21244
XZ1516	g8003
XZ1516	g15825
XZ1516	g10234
XZ1516	g19824
XZ1516	g18887
XZ1516	g918
XZ1516	g10038
XZ1516	g16345
XZ1516	g15886
XZ1516	g7070
XZ1516	g21880
XZ1516	g1266
XZ1516	g15559
XZ1516	g7372
XZ1516	g9488
XZ1516	g9359
XZ1516	g2258
XZ1516	g9340
XZ1516	g21405
XZ1516	g9864
XZ1516	g7963
XZ1516	g17521
XZ1516	g19722
XZ1516	g21909
XZ1516	g1220
XZ1516	g38
XZ1516	g4808
XZ1516	g9657
XZ1516	g9801
XZ1516	g4803
XZ1516	g8080
XZ1516	g22583
XZ1516	g5081
XZ1516	g12916
XZ1516	g10746
XZ1516	g9560
XZ1516	g9896
XZ1516	g13588
XZ1516	g17791
XZ1516	g9551
XZ1516	g9544
XZ1516	g22209
XZ1516	g9808
XZ1516	g22040
XZ1516	g18493
XZ1516	g9806
XZ1516	g16241
XZ1516	g9929
XZ1516	g18413
XZ1516	g8240
XZ1516	g11793
XZ1516	g14557
XZ1516	g19931
XZ1516	g22348
XZ1516	g13723
XZ1516	g8452
XZ1516	g492
XZ1516	g17950
XZ1516	g13477
XZ1516	g9860
XZ1516	g20126
XZ1516	g8328
XZ1516	g18392
XZ1516	g19143
XZ1516	g2427
XZ1516	g20292
XZ1516	g4558
XZ1516	g20166
XZ1516	g22988
XZ1516	g16081
XZ1516	g18516
XZ1516	g18614
XZ1516	g19578
XZ1516	g20288
XZ1516	g9816
XZ1516	g19981
XZ1516	g18380
XZ1516	g8676
XZ1516	g7066
XZ1516	g10237
XZ1516	g8015
XZ1516	g20604
XZ1516	g8667
XZ1516	g19905
XZ1516	g4810
XZ1516	g15755
XZ1516	g9689
XZ1516	g12112
XZ1516	g1578
XZ1516	g9369
XZ1516	g8187
XZ1516	g19876
XZ1516	g17303
XZ1516	g4802
XZ1516	g54
XZ1516	g8677
XZ1516	g4523
XZ1516	g11451
XZ1516	g19839
XZ1516	g7072
XZ1516	g4143
XZ1516	g957
XZ1516	g21815
XZ1516	g20077
XZ1516	g18585
XZ1516	g10389
XZ1516	g8142
XZ1516	g6415
XZ1516	g18625
XZ1516	g9718
XZ1516	g3088
XZ1516	g8158
XZ1516	g9742
XZ1516	g16852
XZ1516	g13429
XZ1516	g18180
XZ1516	g1848
XZ1516	g19922
XZ1516	g7894
XZ1516	g4812
XZ1516	g6009
XZ1516	g639
XZ1516	g8163
XZ1516	g15743
XZ1516	g19744
XZ1516	g20228
XZ1516	g9124
XZ1516	g21465
XZ1516	g1593
XZ1516	g3062
XZ1516	g19692
XZ1516	g9473
XZ1516	g20069
XZ1516	g3438
XZ1516	g10042
XZ1516	g22821
XZ1516	g8666
XZ1516	g9865
XZ1516	g18186
XZ1516	g9333
XZ1516	g8196
XZ1516	g8443
XZ1516	g13715
XZ1516	g521
XZ1516	g8686
XZ1516	g13389
XZ1516	g18511
XZ1516	g15504
XZ1516	g9585
XZ1516	g11357
XZ1516	g16217
XZ1516	g21925
XZ1516	g21985
XZ1516	g15744
XZ1516	g4964
XZ1516	g13628
XZ1516	g17243
XZ1516	g7593
XZ1516	g10804
XZ1516	g15543
XZ1516	g21989
XZ1516	g7114
XZ1516	g21354
XZ1516	g17275
XZ1516	g9484
XZ1516	g10061
XZ1516	g19989
XZ1516	g18519
XZ1516	g15580
XZ1516	g9920
XZ1516	g8197
XZ1516	g13574
XZ1516	g22275
XZ1516	g9028
XZ1516	g9747
XZ1516	g9617
XZ1516	g13390
XZ1516	g21775
XZ1516	g8048
XZ1516	g17262
XZ1516	g8450
XZ1516	g21356
XZ1516	g6334
XZ1516	g8688
XZ1516	g478
XZ1516	g21896
XZ1516	g19435
XZ1516	g8408
XZ1516	g19845
XZ1516	g9973
XZ1516	g17372
XZ1516	g19712
XZ1516	g9512
XZ1516	g17408
XZ1516	g1518
XZ1516	g18588
XZ1516	g21402
XZ1516	g5955
XZ1516	g19842
XZ1516	g20974
XZ1516	g4995
XZ1516	g7
XZ1516	g16348
XZ1516	g21883
XZ1516	g486
XZ1516	g13629
XZ1516	g17377
XZ1516	g13551
XZ1516	g9850
XZ1516	g8658
XZ1516	g16038
XZ1516	g18555
XZ1516	g836
XZ1516	g9348
XZ1516	g10007
XZ1516	g4312
XZ1516	g19837
XZ1516	g18612
XZ1516	g5277
XZ1516	g10073
XZ1516	g17302
XZ1516	g9427
XZ1516	g19828
XZ1516	g21926
XZ1516	g9772
XZ1516	g9541
XZ1516	g13724
XZ1516	g13666
XZ1516	g20992
XZ1516	g495
XZ1516	g18367
XZ1516	g7063
XZ1516	g16400
XZ1516	g22912
XZ1516	g21477
XZ1516	g1817
XZ1516	g2261
XZ1516	g13494
XZ1516	g8144
XZ1516	g16262
XZ1516	g16265
XZ1516	g706
XZ1516	g5468
XZ1516	g16293
XZ1516	g22909
XZ1516	g1343
XZ1516	g527
XZ1516	g8061
XZ1516	g9735
XZ1516	g12473
XZ1516	g4826
XZ1516	g12484
XZ1516	g9448
XZ1516	g16128
XZ1516	g10241
XZ1516	g20073
XZ1516	g9554
XZ1516	g21439
XZ1516	g13568
XZ1516	g258
XZ1516	g21469
XZ1516	g10892
XZ1516	g16824
XZ1516	g2457
XZ1516	g7378
XZ1516	g7051
XZ1516	g1099
XZ1516	g21884
XZ1516	g1509
XZ1516	g14975
XZ1516	g16590
XZ1516	g12471
XZ1516	g10252
XZ1516	g37
XZ1516	g1632
XZ1516	g9450
XZ1516	g56
XZ1516	g9773
XZ1516	g1360
XZ1516	g10251
XZ1516	g19847
XZ1516	g19895
XZ1516	g19437
XZ1516	g10387
XZ1516	g16304
XZ1516	g9494
XZ1516	g10687
XZ1516	g19822
XZ1516	g9692
XZ1516	g12
XZ1516	g10617
XZ1516	g16346
XZ1516	g7927
XZ1516	g318
XZ1516	g10062
XZ1516	g19949
XZ1516	g4807
XZ1516	g17437
XZ1516	g21655
XZ1516	g18633
XZ1516	g9390
XZ1516	g21404
XZ1516	g22021
XZ1516	g4710
XZ1516	g589
XZ1516	g9846
XZ1516	g390
XZ1516	g4843
XZ1516	g18573
XZ1516	g19992
