strain	gene
ECA1761	g19919
ECA1761	g569
ECA1761	g4903
ECA1761	g21146
ECA1761	g401
ECA1761	g16417
ECA1761	g18779
ECA1761	g20677
ECA1761	g466
ECA1761	g20068
ECA1761	g4297
ECA1761	g4913
ECA1761	g16444
ECA1761	g3253
ECA1761	g4298
ECA1761	g12633
ECA1761	g16894
ECA1761	g16463
ECA1761	g16523
ECA1761	g16559
ECA1761	g19887
ECA1761	g16542
ECA1761	g16438
ECA1761	g20645
ECA1761	g1020
ECA1761	g4717
ECA1761	g3951
ECA1761	g16203
ECA1761	g4515
ECA1761	g3744
ECA1761	g16439
ECA1761	g22118
ECA1761	g20560
ECA1761	g19103
ECA1761	g16717
ECA1761	g16242
ECA1761	g15273
ECA1761	g13284
ECA1761	g4351
ECA1761	g16550
ECA1761	g17000
ECA1761	g12493
ECA1761	g4547
ECA1761	g3956
ECA1761	g5461
ECA1761	g10284
ECA1761	g16701
ECA1761	g10866
ECA1761	g14311
ECA1761	g16527
ECA1761	g5119
ECA1761	g16452
ECA1761	g16464
ECA1761	g1827
ECA1761	g16528
ECA1761	g449
ECA1761	g5068
ECA1761	g20115
ECA1761	g14310
ECA1761	g17656
ECA1761	g4214
ECA1761	g4904
ECA1761	g12377
ECA1761	g4557
ECA1761	g12482
ECA1761	g4584
ECA1761	g4555
ECA1761	g3952
ECA1761	g195
ECA1761	g3519
ECA1761	g18819
ECA1761	g19511
ECA1761	g218
ECA1761	g1791
ECA1761	g196
ECA1761	g22914
ECA1761	g144
ECA1761	g16887
ECA1761	g16431
ECA1761	g14068
ECA1761	g22384
ECA1761	g12760
ECA1761	g4421
ECA1761	g16401
ECA1761	g19364
ECA1761	g16686
ECA1761	g3581
ECA1761	g12483
ECA1761	g18846
ECA1761	g16441
ECA1761	g9863
ECA1761	g21145
ECA1761	g21633
ECA1761	g3655
ECA1761	g16549
ECA1761	g5634
ECA1761	g15274
ECA1761	g19913
ECA1761	g19915
ECA1761	g21634
ECA1761	g4314
ECA1761	g4231
ECA1761	g3499
ECA1761	g3957
ECA1761	g20570
ECA1761	g15213
ECA1761	g4410
ECA1761	g3603
ECA1761	g21901
ECA1761	g1510
ECA1761	g10431
ECA1761	g20087
ECA1761	g4415
ECA1761	g21165
ECA1761	g9233
ECA1761	g16535
ECA1761	g4586
ECA1761	g20975
ECA1761	g4771
ECA1761	g22380
ECA1761	g19912
ECA1761	g19910
ECA1761	g4262
ECA1761	g22442
ECA1761	g14545
ECA1761	g16555
ECA1761	g20092
ECA1761	g14926
ECA1761	g4300
